Model,MSE
Random Forest,0.6064214917138079
XGBoost,0.6249200127941702
LightGBM,0.6440300966592377
K-Nearest Neighbors,0.6940843737099401
Multi-layer Perceptron,0.7216508939243487
3D-QSAR-LightGBM,0.7345557981453978
Gradient Boosting,0.7609123420486734
3D-QSAR-Random Forest,0.7784878696547584
3D-QSAR-XGBoost,0.8010749617303463
Support Vector,0.8099471295963623
Ridge Regression,0.8852359851577073
Linear Regression,0.885739240836297
3D-QSAR-Gradient Boosting,0.8926112645208157
Lasso Regression,1.010850600069521
ElasticNet Regression,1.010850600069521
3D-QSAR-Support Vector,1.0427364485687651
Decision Tree,1.058300055928763
3D-QSAR-K-Nearest Neighbors,1.1357290537751223
3D-QSAR-Decision Tree,1.5772865592371295
3D-QSAR-Lasso Regression,805.7449830050272
3D-QSAR-ElasticNet Regression,2390.2276448348507
3D-QSAR-Multi-layer Perceptron,1.092966250068342e+21
3D-QSAR-Ridge Regression,6.672145132608179e+24
3D-QSAR-Linear Regression,5.804483211737454e+25
