Model,MSE
3D-QSAR-LightGBM,0.7423593297815055
3D-QSAR-Random Forest,0.781613320504042
3D-QSAR-XGBoost,0.7888801773989917
3D-QSAR-Gradient Boosting,0.890442693401866
3D-QSAR-Support Vector,1.0427365386948064
3D-QSAR-K-Nearest Neighbors,1.1680655035306897
3D-QSAR-Decision Tree,1.6245316705896558
3D-QSAR-Lasso Regression,805.7509258566204
3D-QSAR-ElasticNet Regression,2390.243149255782
3D-QSAR-Multi-layer Perceptron,3.242501275902323e+18
3D-QSAR-Ridge Regression,8.552522031883982e+24
3D-QSAR-Linear Regression,8.376819585266436e+25
